stopTag,title,lat,lon,stopId
9903880,Richmond BART,37.9365199,-122.35357,51673
1302210,Macdonald Av & 21st St (Div 3 Gate),37.93565,-122.3499,55778
1302230,Macdonald Av & 23rd St,37.93563,-122.34784,55845
1302260,Macdonald Av & 25th St,37.93536,-122.3455799,52055
1302270,Macdonald Av & 27th St,37.93493,-122.3425699,55154
1302290,Macdonald Av & 31st St,37.93452,-122.3396499,54504
1302310,Macdonald Av & Harry Ells Pl,37.93422,-122.3375699,53583
1302330,Macdonald Av & 37th St,37.93378,-122.3344299,55434
1302340,Macdonald Av & 39th St,37.93344,-122.3320799,54514
1302360,Macdonald Av & 42nd St,37.93297,-122.3296299,55214
1302380,Macdonald Av & 44th St,37.93281,-122.32784,55747
1302460,Macdonald Av & San Pablo Av,37.9323,-122.3240099,58892
0501510,San Pablo Av & Home Depot,37.9292,-122.3213399,52230
0501610,San Pablo Av & Wall Av,37.92762,-122.3202199,51162
0500760,Del Norte BART Station,37.9245299,-122.31633,55524
0501500,San Pablo Av & Hill St,37.92291,-122.3169099,50889
0501580,San Pablo Av & Potrero Av,37.92016,-122.3149399,55506
0501520,San Pablo Av & Jefferson Av,37.91721,-122.3128699,54345
1303500,San Pablo Av & Bayview Av,37.91575,-122.3118399,58988
1303640,San Pablo Av & Orchard Av,37.91448,-122.3109499,54151
0501920,San Pablo Av & Moeser Ln,37.91107,-122.3086099,55594
1303650,San Pablo Av & Panama Av,37.90803,-122.3065499,52005
9901640,San Pablo Ave & Columbia Ave,37.90563,-122.3051199,50843
0501980,San Pablo Av & El Dorado St,37.90377,-122.3042299,50616
0501435,San Pablo Av & Central Av,37.90234,-122.3035499,59596
0501490,San Pablo Av & Fairmount Av,37.9002,-122.3025499,52925
0501430,San Pablo Av & Carlson Blvd,37.8985799,-122.30181,52221
0200360,San Pablo Av & Brighton Av,37.89651,-122.3010899,56422
0200390,San Pablo Av & Castro St,37.89429,-122.3003799,55728
0200730,San Pablo Av & Solano Av,37.88996,-122.2990099,56688
0200380,San Pablo Av & Buchanan St,37.8881,-122.2983999,57957
0200400,San Pablo Av & Marin Av,37.88646,-122.2978699,51166
0200430,San Pablo Av & Monroe St,37.88441,-122.2972099,54344
0304590,San Pablo Av & Harrison St,37.88204,-122.2964499,55929
0304540,San Pablo Av & Gilman St,37.8799,-122.2957699,55501
0304640,San Pablo Av & Page St,37.87732,-122.2949299,53005
0304470,San Pablo Av & Cedar St,37.87542,-122.2943299,59600
0304500,San Pablo Av & Delaware St,37.87176,-122.2931499,59755
0304670,University Av & San Pablo Av,37.86906,-122.29172,55996
9903740,University Av & Bonar St,37.86965,-122.28696,51617
0305840,University Av & Acton St,37.8700996,-122.2839222,59900
0306050,University Av & Sacramento St,37.8703699,-122.28135,56667
9903590,University Av & California St,37.87062,-122.27945,51574
0305930,University Av & Grant St,37.87121,-122.27489,51900
0305990,University Av & Martin Luther King Jr Way,37.8715496,-122.2726723,55988
0306080,University Av & Shattuck Av,37.87203,-122.26857,54466
9904050,Shattuck Av & Center St,37.8704799,-122.26825,51719
0304960,Shattuck Av & Kittredge St,37.86819,-122.2679899,55999
0304890,Shattuck Av & Durant Av,37.86647,-122.2678099,55226
0304920,Shattuck Av & Dwight Way,37.86376,-122.2674999,54454
0304990,Shattuck Av & Parker St,37.86193,-122.2672799,55935
0304870,Shattuck Av & Derby St,37.8606699,-122.2671699,51377
0300420,Adeline St & Ward St,37.8590399,-122.2677899,56910
0300400,Adeline St & Oregon St,37.8570799,-122.2684899,57330
0300750,Ashby Av & Adeline St (Ashby BART Station),37.8548099,-122.26868,52239
0301030,Ashby Av & Shattuck Av,37.85527,-122.26619,52339
0301080,Ashby Av & Wheeler St,37.85552,-122.26429,58234
0300840,Ashby Av & Deakin St,37.85579,-122.26217,57658
0305620,Telegraph Av & Webster St,37.85531,-122.2599299,55529
0305570,Telegraph Av & Prince St,37.8536499,-122.2601699,55723
1020380,Telegraph Av & Alcatraz Av,37.8503899,-122.2606199,53377
1020330,Telegraph Av & 62nd St,37.8480399,-122.2609599,51123
1020310,Telegraph Av & 60th St,37.8465799,-122.2611399,50422
1030840,Telegraph Av & 59th St,37.8447499,-122.2614099,54499
1020290,Telegraph Av & 58th St,37.8435199,-122.2615799,56007
1020360,Telegraph Av & Aileen St,37.8419099,-122.2618099,55139
1020280,Telegraph Av & 55th St,37.8403599,-122.2620199,51851
1020260,Telegraph Av & 52nd St,37.8381899,-122.2623199,55425
1020250,Telegraph Av & 50th St,37.8365499,-122.2626099,54111
1020210,Telegraph Av & 45th St,37.8332699,-122.2634999,55989
1020200,Telegraph Av & 44th St,37.8323699,-122.2637399,56783
1020150,Telegraph Av & 40th St,37.8294999,-122.26451,55575
1020460,Telegraph Av & W Macarthur Blvd,37.8267399,-122.2652599,55933
1020130,Telegraph Av & 36th St,37.8245899,-122.2658299,54404
