stopTag,title,lat,lon,stopId
0303000,Grizzly Peak Blvd & Senior Av,37.88303,-122.2489599,53077
0304740,Senior Av & Fairlawn Dr,37.8829399,-122.2503,53589
0302630,Fairlawn Dr & Avenida Dr,37.8835177,-122.2501308,57478
0301100,Avenida Dr & Queens Rd,37.8835499,-122.2517599,51138
0301090,Avenida Dr & Campus Dr,37.8827599,-122.25229,55827
0301220,Campus Dr & Del Mar Av,37.8838099,-122.25304,55194
0301230,Campus Dr & Glendale Av,37.8857699,-122.25451,57651
0301240,Campus Dr & Quail Av,37.88669,-122.25485,57652
0301250,Campus Dr & Shasta Rd,37.88764,-122.25449,57653
0304770,Shasta Rd & Queens Rd,37.8882,-122.2534899,59765
0304760,Shasta Rd & Miller Av,37.8896299,-122.2531799,50669
0304750,Shasta Rd & Grizzly Peak Blvd,37.8899,-122.25234,59895
0303010,Grizzly Peak Blvd & Shasta Rd,37.8903399,-122.25226,50226
0302990,Grizzly Peak Blvd & Muir Way,37.8916499,-122.255,57662
0302880,Grizzly Peak Blvd & Creston Rd (South-East,37.8925999,-122.25645,55769
0302960,Grizzly Peak Blvd & Latham Ln,37.8941399,-122.25826,58847
0302910,Grizzly Peak Blvd & Forest Ln,37.8961699,-122.26042,57661
0302980,Grizzly Peak Blvd & Marin Av,37.8969599,-122.26154,55394
0302950,Grizzly Peak Blvd & Keeler Av,37.8993599,-122.26517,55364
0302890,Grizzly Peak Blvd & Creston Rd (North-West,37.9009499,-122.26636,50337
0302450,Euclid Av & Grizzly Peak Blvd,37.9018399,-122.26761,50933
0302300,Euclid Av & Acacia Av,37.9006,-122.2674899,58117
0302540,Euclid Av & Poplar St,37.89724,-122.2665899,51977
0302590,Euclid Av & Rock Ln,37.89605,-122.2659599,50125
0302510,Euclid Av & Marin Av,37.89505,-122.2649999,55126
0302560,Euclid Av & Regal Rd,37.8939799,-122.2639299,58337
0302410,Euclid Av & Easter Way,37.89246,-122.2650499,58227
0302400,Euclid Av & Cragmont Av,37.89074,-122.2640499,51877
0302340,Euclid Av & Bret Harte Path,37.8896299,-122.2626399,52025
0302280,Euclid Av & #1152,37.8876999,-122.2613599,55264
0302440,Euclid Av & Eunice St,37.8862899,-122.2624999,50705
0302310,Euclid Av & Bayview Pl,37.8844,-122.2628099,52102
0302380,Euclid Av & Codornices Park,37.88312,-122.2617599,52267
0302610,Euclid Av & Vine Ln,37.88123,-122.2615199,50227
0302370,Euclid Av & Cedar St,37.8792,-122.2610899,54780
0302620,Euclid Av & Virginia St,37.87754,-122.2607299,55314
0302570,Euclid Av & Ridge Rd,37.87621,-122.2604499,55304
0302480,Euclid Av & Hearst Av,37.87533,-122.2602399,52667
0303100,Hearst Av & Arch St,37.8745899,-122.2642299,55456
9902360,Oxford St & Hearst Av,37.87383,-122.2663799,51073
0306670,Oxford St & University Av,37.87217,-122.2661999,56521
0306220,Shattuck Av & Center St,37.87092,-122.26763,55678
300300315,Addison St & Oxford St,37.8712899,-122.26655,
