stopTag,title,lat,lon,stopId
0304840,Shattuck Sq & Center St (Berkeley BART Sta,37.8701899,-122.26773,55559
9904050,Shattuck Av & Center St,37.87048,-122.2682499,51719
0304960,Shattuck Av & Kittredge St,37.86819,-122.2679899,55999
0302020,Durant Av & Shattuck Av,37.86668,-122.26723,56555
9903630,Durant Av & Ellsworth St,37.8672,-122.26322,51584
9903710,Durant Av & Dana St,37.86749,-122.26084,51606
9903600,Durant Av & Telegragh St,37.8678399,-122.25864,51579
0301980,Durant Av & College Av,37.8683,-122.25463,52333
0301740,College Av & Haste St,37.86671,-122.2541999,52244
9903610,College Av & Parker St,37.86336,-122.2537499,51582
0301690,College Av & Derby St,37.8619,-122.2535999,50600
0301780,College Av & Russell St,37.85859,-122.2532699,57655
0301670,College Av & Ashby Av,37.85682,-122.2531099,55991
0301810,College Av & Woolsey St,37.8537,-122.2528199,56585
9903430,College Av & Alcatraz Av,37.85093,-122.2525699,51508
1007470,College Av & Claremont Av,37.84878,-122.2522899,57877
1007450,College Av & Chabot Rd,37.8472,-122.2521299,56288
1007540,College Av & Oak Grove Av (Opp. Claremont,37.84572,-122.2519899,56656
1031130,College Av & Miles Av,37.8445399,-122.25197,54327
9903450,College Av & Lawton Av,37.84193,-122.2516199,51524
9903440,College Av & Manila Av,37.83975,-122.2513699,51509
1007430,College Av & Broadway,37.83672,-122.2513499,55331
9903510,Broadway & 51st St,37.8340899,-122.2527699,51537
1006650,Broadway & 42nd St (Oakland Technical High,37.8313899,-122.2544499,57773
9903460,Broadway & 40th St,37.8271899,-122.2571,51526
1006880,Broadway & W Macarthur Blvd,37.8241299,-122.2589799,51999
1006270,Broadway & Mosswood Park,37.8229899,-122.2596799,57547
9903930,Broadway & 30th St,37.8183999,-122.2625999,51686
1006540,Broadway & 28th St,37.8162299,-122.2639199,57771
9901580,Broadway & 25th St,37.8139699,-122.2653499,50825
1006860,Broadway & West Grand Ave,37.8111699,-122.2670399,53353
1030970,Broadway & Thomas L Berkley Way (20th St),37.8085899,-122.2685899,55569
9902070,Broadway & 17th St (19th St BART Station),37.8063199,-122.2700799,50958
1006310,Broadway & 12th St (12th St BART Station),37.8030499,-122.27206,50212
9903500,Broadway & 9th St,37.8011999,-122.2733099,51536
1003480,7th St & Franklin St,37.79901,-122.2731799,59999
0104790,Webster St & Stargell Av,37.78286,-122.2767699,50541
0103790,Webster St & Ralph Appezzato Memorial Pkwy,37.7790799,-122.27669,57700
0103800,Webster St & Buena Vista Av,37.77703,-122.2767699,51551
0104270,Webster St & Lincoln Av,37.77489,-122.2768199,58899
0103420,Santa Clara Av & Webster St,37.77327,-122.2764399,59992
0103140,Santa Clara Av & 8th St,37.77316,-122.2728699,55675
0103220,Santa Clara Av & Caroline St,37.77302,-122.2682199,51591
0103180,Santa Clara Av & Bay St,37.77288,-122.26477,55944
9903270,Santa Clara Av & Morton St,37.77282,-122.26186,51475
0103360,Santa Clara Av & Stanton St,37.77277,-122.25979,57373
0103280,Santa Clara Av & Grand St,37.77154,-122.2563199,52533
9903210,Santa Clara Av & Chestnut St,37.76948,-122.2515899,51437
9903300,Santa Clara Av & Willow St,37.7683,-122.2488999,51481
0103380,Santa Clara Av & Walnut St,37.76719,-122.2463299,58944
0103330,Santa Clara Av & Oak St,37.76604,-122.2437899,53370
0103350,Santa Clara Av & Park St,37.7653699,-122.24208,59255
9903230,Santa Clara Av & Everett St,37.76447,-122.2403899,51464
0100460,Broadway & Santa Clara Av,37.76373,-122.23806,52249
9903240,Broadway & Eagle Av,37.76698,-122.23534,51467
0100340,Blanding Av & Broadway,37.7685799,-122.23377,55987
301011370,Fruitvale BART Station,37.7749999,-122.22457,
